surah	ayah	word_index	morpheme_index	qac_ref	surface_ar	lemma_ar	root_ar	root_norm	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	number	gender
98	4	6	1	98:4:6:1	إِلَّا	إِلَّا			CERT	STEM	STEM|POS:CERT|LEM:<il~aA							
98	4	7	1	98:4:7:1	مِنۢ	مِن			P	STEM	STEM|POS:P|LEM:min							
98	4	8	1	98:4:8:1	بَعْدِ	بَعْد	ب ع د	ب ع د	N	STEM	STEM|POS:N|LEM:baEod|ROOT:bEd|GEN							
98	4	9	1	98:4:9:1	مَا	مَا			REL	STEM	STEM|POS:REL|LEM:maA							
98	4	10	1	98:4:10:1	جَآءَتْ	جَآءَ	ج ي ء	ج ي ء	V	STEM	STEM|POS:V|PERF|LEM:jaA^'a|ROOT:jyA|3FS	PERF						
98	4	10	2	98:4:10:2	هُمُ				PRON	SUFFIX	SUFFIX|PRON:3MP							
98	4	11	1	98:4:11:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
98	4	11	2	98:4:11:2	بَيِّنَةُ	بَيِّنَة	ب ي ن	ب ي ن	N	STEM	STEM|POS:N|LEM:bay~inap|ROOT:byn|FS|NOM							
98	5	1	1	98:5:1:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
98	5	1	2	98:5:1:2	مَآ	مَا			NEG	STEM	STEM|POS:NEG|LEM:maA							
98	5	2	1	98:5:2:1	أُمِرُ	أَمَرَ	ء م ر	ء م ر	V	STEM	STEM|POS:V|PERF|PASS|LEM:>amara|ROOT:Amr|3MP	PERF		PASS				
98	5	2	2	98:5:2:2	وٓا۟				PRON	SUFFIX	SUFFIX|PRON:3MP							
98	5	3	1	98:5:3:1	إِلَّا	إِلَّا			CERT	STEM	STEM|POS:CERT|LEM:<il~aA							
98	5	4	1	98:5:4:1	لِ				PRP	PREFIX	PREFIX|l:PRP+							
98	5	4	2	98:5:4:2	يَعْبُدُ	عَبَدَ	ع ب د	ع ب د	V	STEM	STEM|POS:V|IMPF|LEM:Eabada|ROOT:Ebd|3MP|MOOD:SUBJ	IMPF	SUBJ					
98	5	4	3	98:5:4:3	وا۟				PRON	SUFFIX	SUFFIX|PRON:3MP							
98	5	5	1	98:5:5:1	ٱللَّهَ	ٱللَّه	ء ل ه	ء ل ه	PN	STEM	STEM|POS:PN|LEM:{ll~ah|ROOT:Alh|ACC							
98	5	6	1	98:5:6:1	مُخْلِصِينَ	مُخْلِص	خ ل ص	خ ل ص	N	STEM	STEM|POS:N|ACT|PCPL|(IV)|LEM:muxoliS|ROOT:xlS|MP|ACC			ACT	IV			
98	5	7	1	98:5:7:1	لَ				P	PREFIX	PREFIX|l:P+							
98	5	7	2	98:5:7:2	هُ				PRON	STEM	STEM|POS:PRON|3MS							
98	5	8	1	98:5:8:1	ٱل				DET	PREFIX	PREFIX|Al+							
98	5	8	2	98:5:8:2	دِّينَ	دِين	د ي ن	د ي ن	N	STEM	STEM|POS:N|LEM:diyn|ROOT:dyn|M|ACC							
