left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P0219	P0425	0.613164	0.570159	0.594825	0.595145	0.888889	0.777778	0.75	mutual_knn
P1511	P2324	0.613135	0.574985	0.592003	0.638577	0.833333	0.8	0.75	mutual_knn
P0298	P0358	0.613012	0.550282	0.614149	0.726553	0.777778	0.777778	0.75	mutual_knn
P1555	P2280	0.61284	0.523434	0.593302	0.83925	0.857143	0.8	0.75	mutual_knn
P0187	P0335	0.612669	0.531089	0.599097	0.751062	0.888889	0.777778	0.75	mutual_knn
P0253	P0676	0.612653	0.549724	0.568034	0.764651	0.9	0.777778	0.75	mutual_knn
P0235	P0621	0.612508	0.511295	0.547178	0.909125	1.0	0.777778	0.75	mutual_knn
P0105	P0499	0.612338	0.527663	0.550895	0.920755	0.9	0.777778	0.75	mutual_knn
P0302	P0658	0.612317	0.564068	0.589231	0.772555	0.75	0.777778	0.75	mutual_knn
P0226	P0505	0.612246	0.533905	0.586432	0.792374	0.875	0.777778	0.75	mutual_knn
P1510	P1705	0.611996	0.54262	0.576367	0.827553	0.833333	0.8	0.75	mutual_knn
P0204	P0611	0.611925	0.561708	0.594348	0.711348	0.8	0.777778	0.75	mutual_knn
P0344	P0635	0.611777	0.529641	0.554331	0.894222	0.9	0.777778	0.75	mutual_knn
P0199	P0379	0.611739	0.550115	0.581055	0.808182	0.8	0.7	0.666667	mutual_knn
P0064	P0383	0.611481	0.581868	0.599602	0.620018	0.777778	0.777778	0.75	mutual_knn
P0840	P1881	0.611297	0.54793	0.581847	0.753678	0.857143	0.833333	0.8	mutual_knn
P0155	P0465	0.611151	0.532049	0.550505	0.890523	0.9	0.777778	0.75	mutual_knn
P0385	P0691	0.611	0.546411	0.573889	0.753653	0.888889	0.777778	0.75	mutual_knn
P0055	P0553	0.610917	0.550713	0.567703	0.75511	0.888889	0.777778	0.75	mutual_knn
P1399	P1755	0.610909	0.519671	0.594076	0.857972	0.833333	0.8	0.75	mutual_knn
P1770	P2268	0.610852	0.490784	0.587769	0.842803	1.0	0.8	0.75	mutual_knn
P0089	P0470	0.610752	0.535461	0.567542	0.711552	1.0	0.777778	0.75	mutual_knn
P0145	P0644	0.610655	0.559808	0.60197	0.680524	0.8	0.777778	0.75	mutual_knn
P0456	P0748	0.610569	0.55609	0.574853	0.691302	0.9	0.777778	0.75	mutual_knn
P1486	P1560	0.610521	0.53079	0.591621	0.812647	0.833333	0.8	0.75	mutual_knn
P1560	P1717	0.610336	0.541061	0.575965	0.819377	0.833333	0.8	0.75	mutual_knn
P0139	P0517	0.610302	0.551644	0.592351	0.658502	0.888889	0.777778	0.75	mutual_knn
P1188	P1202	0.610138	0.489038	0.591679	0.829835	1.0	0.8	0.75	mutual_knn
P0123	P0453	0.609989	0.540075	0.603073	0.758796	0.8	0.777778	0.75	mutual_knn
P0238	P0602	0.609934	0.524061	0.536016	0.865009	1.0	0.777778	0.75	mutual_knn
P0300	P0361	0.609791	0.527798	0.547891	0.8052	1.0	0.7	0.666667	mutual_knn
P0314	P0324	0.609708	0.541093	0.573332	0.766615	0.888889	0.777778	0.75	mutual_knn
P0384	P0589	0.609449	0.560954	0.590618	0.725254	0.777778	0.777778	0.75	mutual_knn
P0184	P0360	0.609348	0.52303	0.552089	0.807532	1.0	0.7	0.666667	mutual_knn
P0382	P0560	0.609196	0.555519	0.570245	0.70738	0.888889	0.777778	0.75	mutual_knn
P0025	P0536	0.609044	0.538177	0.590358	0.713504	0.888889	0.777778	0.75	mutual_knn
P0004	P0100	0.609003	0.552182	0.583856	0.672823	0.888889	0.777778	0.75	mutual_knn
P0277	P0466	0.608982	0.549214	0.548627	0.698159	1.0	0.777778	0.75	mutual_knn
P0061	P0413	0.608822	0.546579	0.578111	0.716337	0.888889	0.777778	0.75	mutual_knn
P1621	P2146	0.608758	0.524306	0.567332	0.909204	0.833333	0.8	0.75	mutual_knn
P1771	P2335	0.608733	0.625535	0.61403	0.551891	0.571429	0.8	0.75	mutual_knn
P0754	P1658	0.608644	0.515874	0.571772	0.763804	1.0	0.833333	0.8	mutual_knn
P0285	P0556	0.608584	0.525875	0.553693	0.881481	0.9	0.777778	0.75	mutual_knn
P1763	P2368	0.608584	0.577035	0.589437	0.592823	0.833333	0.8	0.75	mutual_knn
P1333	P1894	0.608405	0.533652	0.569412	0.832527	0.857143	0.8	0.75	mutual_knn
P1662	P1723	0.608319	0.519962	0.533613	0.875713	1.0	0.8	0.75	mutual_knn
P0161	P0430	0.608279	0.558732	0.603199	0.730026	0.727273	0.777778	0.75	mutual_knn
P0316	P0364	0.608256	0.570858	0.589083	0.563016	0.888889	0.777778	0.75	mutual_knn
P1660	P2210	0.608199	0.559064	0.564761	0.589534	1.0	0.8	0.75	mutual_knn
P0014	P0420	0.608159	0.514056	0.586525	0.715501	1.0	0.777778	0.75	mutual_knn
P0142	P0731	0.607848	0.538387	0.5312	0.887448	0.909091	0.777778	0.75	mutual_knn
P0056	P0694	0.607713	0.522984	0.551436	0.904783	0.888889	0.777778	0.75	mutual_knn
P0162	P0519	0.607454	0.547692	0.576456	0.703435	0.888889	0.777778	0.75	mutual_knn
P0105	P0716	0.607196	0.520564	0.550969	0.901029	0.9	0.777778	0.75	mutual_knn
P1235	P2116	0.606832	0.576858	0.593534	0.561755	0.833333	0.8	0.75	mutual_knn
P0167	P0521	0.606825	0.541832	0.575293	0.741484	0.875	0.777778	0.75	mutual_knn
P0190	P0499	0.606723	0.535452	0.576766	0.739012	0.9	0.777778	0.75	mutual_knn
P1465	P1563	0.606603	0.52829	0.582379	0.817063	0.833333	0.8	0.75	mutual_knn
P1017	P2426	0.606564	0.583993	0.593186	0.528189	0.833333	1.0	1.0	mutual_knn
P0001	P0380	0.606472	0.518754	0.546005	0.919309	0.9	0.777778	0.75	mutual_knn
P0167	P0412	0.606449	0.54239	0.578639	0.723496	0.875	0.777778	0.75	mutual_knn
P1476	P1866	0.606415	0.536347	0.567246	0.831896	0.833333	0.8	0.75	mutual_knn
P1158	P1915	0.606396	0.563116	0.597155	0.606562	0.833333	0.8	0.75	mutual_knn
P0194	P0470	0.606231	0.532715	0.577491	0.743876	0.9	0.777778	0.75	mutual_knn
P0435	P0646	0.606212	0.547366	0.570766	0.712402	0.888889	0.777778	0.75	mutual_knn
P0594	P0791	0.60621	0.550458	0.568007	0.708128	0.888889	0.777778	0.75	mutual_knn
P0165	P0241	0.606209	0.510302	0.543429	0.863726	1.0	0.777778	0.75	mutual_knn
P0069	P0242	0.606018	0.554852	0.587108	0.758467	0.75	0.777778	0.75	mutual_knn
P0016	P0368	0.605997	0.547267	0.576393	0.679889	0.9	0.777778	0.75	mutual_knn
P0217	P0503	0.605967	0.522266	0.575595	0.694888	1.0	0.777778	0.75	mutual_knn
P0245	P0356	0.605967	0.537189	0.551442	0.812273	0.9	0.7	0.666667	mutual_knn
P0023	P0476	0.605769	0.576596	0.595025	0.580422	0.8	0.777778	0.75	mutual_knn
P0285	P0617	0.605671	0.521609	0.525075	0.87171	1.0	0.777778	0.75	mutual_knn
P0039	P0335	0.605658	0.510274	0.560722	0.908927	0.888889	0.777778	0.75	mutual_knn
P0247	P0290	0.605612	0.4919	0.526447	1.0	1.0	0.7	0.666667	mutual_knn
P1393	P1958	0.605461	0.561216	0.574663	0.517821	1.0	0.8	0.75	mutual_knn
P0292	P0416	0.605427	0.537611	0.58032	0.715011	0.888889	0.777778	0.75	mutual_knn
P0316	P0341	0.605426	0.565497	0.583235	0.579306	0.888889	0.777778	0.75	mutual_knn
P0891	P1765	0.60539	0.552531	0.553125	0.756568	0.875	0.833333	0.8	mutual_knn
P1075	P2116	0.605359	0.50353	0.603483	0.842177	0.833333	0.8	0.75	mutual_knn
P1357	P1901	0.605279	0.525937	0.535606	0.811448	1.0	0.8	0.75	mutual_knn
P0185	P0656	0.605135	0.542983	0.577142	0.699041	0.888889	0.777778	0.75	mutual_knn
P0079	P0432	0.605134	0.537761	0.576176	0.714798	0.9	0.777778	0.75	mutual_knn
P0134	P0524	0.605128	0.566846	0.572235	0.67947	0.818182	0.777778	0.75	mutual_knn
P0736	P0849	0.605053	0.514006	0.563214	0.877362	0.888889	0.75	0.714286	mutual_knn
P1481	P2179	0.605044	0.529795	0.568754	0.842392	0.833333	0.8	0.75	mutual_knn
P1336	P1769	0.605026	0.585526	0.579908	0.52857	0.857143	0.8	0.75	mutual_knn
P0060	P0597	0.605	0.561943	0.581719	0.610245	0.875	0.777778	0.75	mutual_knn
P0285	P0699	0.604987	0.523361	0.570454	0.698159	1.0	0.777778	0.75	mutual_knn
P1323	P2323	0.604977	0.506909	0.555432	0.824667	1.0	0.8	0.75	mutual_knn
P1339	P1769	0.604951	0.494419	0.588768	0.763933	1.0	0.8	0.75	mutual_knn
P0311	P0639	0.604905	0.567786	0.579223	0.688954	0.777778	0.777778	0.75	mutual_knn
P1300	P1648	0.604889	0.50578	0.597262	0.825325	0.857143	0.8	0.75	mutual_knn
P0292	P0563	0.604815	0.56248	0.589223	0.565816	0.888889	0.777778	0.75	mutual_knn
P0388	P0422	0.604725	0.538816	0.594816	0.740718	0.8	0.777778	0.75	mutual_knn
P0336	P0563	0.604662	0.516283	0.566842	0.739397	1.0	0.777778	0.75	mutual_knn
P0093	P0336	0.604623	0.503266	0.55534	0.837838	1.0	0.7	0.666667	mutual_knn
P0327	P0583	0.604463	0.568	0.589355	0.536999	0.888889	0.777778	0.75	mutual_knn
P0222	P0569	0.604377	0.542921	0.571297	0.712198	0.888889	0.777778	0.75	mutual_knn
P0433	P0676	0.604284	0.550204	0.590161	0.701357	0.8	0.777778	0.75	mutual_knn
P0328	P0441	0.603951	0.561487	0.563196	0.652739	0.888889	0.7	0.666667	mutual_knn
P0449	P0750	0.60394	0.50628	0.53728	0.880662	1.0	0.75	0.714286	mutual_knn
P0118	P0396	0.603801	0.518887	0.543696	0.800087	1.0	0.7	0.666667	mutual_knn
P0231	P0609	0.603617	0.585214	0.600544	0.523022	0.777778	0.777778	0.75	mutual_knn
P1270	P2170	0.603616	0.535157	0.561344	0.806113	0.857143	0.8	0.75	mutual_knn
P0081	P0398	0.603588	0.519648	0.568685	0.70706	1.0	0.7	0.666667	mutual_knn
P1332	P1911	0.603522	0.544241	0.556442	0.805261	0.833333	0.8	0.75	mutual_knn
P0396	P0599	0.603426	0.550076	0.562164	0.691344	0.9	0.777778	0.75	mutual_knn
P1226	P1425	0.6034	0.51401	0.587076	0.83286	0.833333	0.8	0.75	mutual_knn
P0112	P0626	0.603382	0.540273	0.578795	0.676809	0.9	0.777778	0.75	mutual_knn
P0032	P0499	0.603231	0.554712	0.586825	0.754949	0.727273	0.777778	0.75	mutual_knn
P0399	P0611	0.603169	0.543925	0.563225	0.723857	0.888889	0.777778	0.75	mutual_knn
P1658	P1862	0.603165	0.52246	0.5675	0.837187	0.857143	0.8	0.75	mutual_knn
P0007	P0416	0.603052	0.523014	0.541282	0.893586	0.888889	0.777778	0.75	mutual_knn
P1212	P1758	0.603012	0.494726	0.5777	0.781903	1.0	0.8	0.75	mutual_knn
P0400	P0652	0.602997	0.527194	0.55691	0.708407	1.0	0.777778	0.75	mutual_knn
P1685	P2210	0.602868	0.598033	0.602309	0.562779	0.666667	0.8	0.75	mutual_knn
P0014	P0451	0.602784	0.558466	0.576335	0.69757	0.8	0.777778	0.75	mutual_knn
P0186	P0345	0.6026	0.524298	0.574221	0.656885	1.0	0.7	0.666667	mutual_knn
P1474	P2058	0.602592	0.575278	0.609152	0.590849	0.714286	0.8	0.75	mutual_knn
P0055	P0086	0.602517	0.521659	0.564505	0.701939	1.0	0.7	0.666667	mutual_knn
P1421	P1876	0.602437	0.543633	0.558934	0.788424	0.833333	0.8	0.75	mutual_knn
