left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C056	C083	0.278231	0.151321	0.211411	0.444741	0.946729	0.365533	0.309029	mutual_knn
C099	C114	0.278064	0.131055	0.214618	0.495985	0.985527	0.365148	0.236016	mutual_knn
C048	C112	0.277702	0.122057	0.244526	0.456022	0.97714	0.403355	0.219102	mutual_knn
C070	C101	0.277358	0.143355	0.192095	0.493284	0.987241	0.343866	0.272759	mutual_knn
C070	C084	0.276128	0.152244	0.248737	0.298453	0.955395	0.444131	0.281251	mutual_knn
C044	C056	0.275689	0.125327	0.24429	0.502592	0.894792	0.42979	0.312662	mutual_knn
C078	C101	0.275597	0.142837	0.163549	0.560989	0.990148	0.299651	0.26504	mutual_knn
C039	C070	0.274954	0.137251	0.190223	0.506594	0.986025	0.337009	0.284301	mutual_knn
C030	C044	0.272613	0.113336	0.219625	0.528751	0.971825	0.387415	0.210429	mutual_knn
C084	C117	0.271315	0.152024	0.225191	0.369349	0.908108	0.379208	0.271205	mutual_knn
C051	C074	0.270978	0.148369	0.194723	0.389632	0.994135	0.330424	0.273597	mutual_knn
C037	C046	0.270581	0.177023	0.199568	0.34368	0.87831	0.343962	0.366713	mutual_knn
C057	C118	0.269947	0.140678	0.216202	0.401546	0.945923	0.362112	0.396472	mutual_knn
C047	C112	0.266121	0.103477	0.181794	0.604883	0.993559	0.321312	0.187659	mutual_knn
C018	C051	0.264779	0.116709	0.177713	0.54096	0.990148	0.315984	0.273597	mutual_knn
C074	C117	0.263231	0.128397	0.242017	0.407058	0.857215	0.391008	0.244802	mutual_knn
C071	C075	0.258923	0.12796	0.169616	0.460181	0.980407	0.305708	0.232776	mutual_knn
C022	C115	0.258871	0.141301	0.173823	0.380534	0.980196	0.313554	0.327524	mutual_knn
C106	C117	0.252824	0.130487	0.192744	0.51998	0.777593	0.329014	0.252511	mutual_knn
C023	C046	0.252057	0.156645	0.16897	0.240283	0.990148	0.300183	0.339729	mutual_knn
C065	C079	0.251572	0.138284	0.159483	0.366052	0.979796	0.293222	0.251429	mutual_knn
C042	C111	0.250265	0.137292	0.151828	0.375881	0.98482	0.279019	0.271329	mutual_knn
C001	C052	0.239452	0.1353	0.169421	0.272018	0.937743	0.329038	0.285822	mutual_knn
C051	C110	0.229031	0.063435	0.12899	0.609026	0.97714	0.228927	0.13218	mutual_knn
