left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C330	C500	0.367696	0.308875	0.329171	0.193209	0.951861	0.521661	0.518495	mutual_knn
C127	C365	0.367617	0.31836	0.285343	0.311671	0.916667	0.458157	0.490496	mutual_knn
C344	C398	0.3675	0.324078	0.270244	0.2796	0.964286	0.430765	0.547377	mutual_knn
C209	C499	0.367424	0.299874	0.291961	0.377851	0.921132	0.510936	0.502487	mutual_knn
C303	C636	0.367365	0.328923	0.284534	0.27918	0.896258	0.465919	0.520119	mutual_knn
C313	C553	0.366925	0.355226	0.254087	0.304367	0.826488	0.424719	0.62403	mutual_knn
C169	C334	0.366716	0.247753	0.335116	0.493886	0.929163	0.518912	0.496028	mutual_knn
C320	C568	0.36659	0.260476	0.271333	0.572523	0.977	0.463222	0.440334	mutual_knn
C370	C625	0.366559	0.25947	0.291905	0.506099	0.986431	0.461879	0.466122	mutual_knn
C025	C136	0.366496	0.257145	0.297966	0.51273	0.972607	0.49515	0.419943	mutual_knn
C165	C396	0.366388	0.310887	0.261979	0.348395	0.975112	0.422119	0.524495	mutual_knn
C020	C067	0.365982	0.270757	0.304436	0.502891	0.889832	0.496831	0.434466	mutual_knn
C267	C544	0.365941	0.276713	0.284465	0.441197	0.981257	0.450203	0.525025	mutual_knn
C221	C308	0.36594	0.336598	0.3132	0.224271	0.812539	0.494025	0.550742	mutual_knn
C154	C285	0.365793	0.309015	0.293053	0.287618	0.946072	0.473385	0.53437	mutual_knn
C528	C537	0.365777	0.23869	0.379709	0.361449	0.963744	0.55353	0.432252	mutual_knn
C150	C215	0.365739	0.284141	0.281855	0.429259	0.961858	0.482071	0.471852	mutual_knn
C483	C557	0.365157	0.210903	0.367443	0.533035	0.961693	0.5853	0.379106	mutual_knn
C286	C530	0.365143	0.272416	0.331431	0.35535	0.939705	0.521359	0.469118	mutual_knn
C210	C504	0.364964	0.286913	0.252721	0.491048	0.965861	0.4275	0.447537	mutual_knn
C047	C086	0.364499	0.297841	0.317112	0.260573	0.94388	0.49804	0.511926	mutual_knn
C093	C102	0.364369	0.294291	0.308405	0.267136	0.979886	0.472762	0.50483	mutual_knn
C280	C358	0.364258	0.290848	0.298621	0.355435	0.937043	0.461487	0.474605	mutual_knn
C613	C655	0.364152	0.278556	0.292447	0.458607	0.912789	0.491846	0.469775	mutual_knn
C022	C333	0.364113	0.320848	0.301432	0.347211	0.785377	0.518012	0.502358	mutual_knn
C254	C287	0.364061	0.298552	0.229303	0.513723	0.946223	0.390183	0.575244	mutual_knn
C148	C354	0.363983	0.32202	0.298478	0.236175	0.898117	0.460706	0.516358	mutual_knn
C125	C489	0.36381	0.261103	0.329574	0.456519	0.887345	0.529064	0.553738	mutual_knn
C062	C067	0.363778	0.319885	0.309029	0.314667	0.796604	0.560807	0.538708	mutual_knn
C150	C180	0.363698	0.259176	0.272533	0.528876	0.994627	0.467982	0.505914	mutual_knn
C393	C401	0.363606	0.265157	0.284098	0.474431	0.98355	0.44609	0.421071	mutual_knn
C060	C164	0.363433	0.244255	0.31664	0.475971	0.987163	0.53575	0.45841	mutual_knn
C052	C436	0.363424	0.275987	0.28326	0.451242	0.953282	0.457103	0.438571	mutual_knn
