left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C229	C389	0.32066	0.210337	0.241572	0.452938	0.977262	0.401533	0.397786	mutual_knn
C280	C311	0.320616	0.240251	0.289946	0.22474	0.910327	0.461549	0.424412	mutual_knn
C233	C479	0.320478	0.235904	0.248722	0.303327	0.975765	0.431023	0.420974	mutual_knn
C052	C067	0.320156	0.244276	0.266934	0.311651	0.86773	0.462414	0.406516	mutual_knn
C058	C161	0.320115	0.21689	0.214	0.559069	0.915628	0.385197	0.364608	mutual_knn
C161	C607	0.320015	0.221765	0.210366	0.475537	0.984682	0.37231	0.38134	mutual_knn
C279	C593	0.319931	0.242574	0.278739	0.255262	0.894959	0.484157	0.419494	mutual_knn
C361	C574	0.319739	0.298366	0.22172	0.160955	0.879441	0.368668	0.488891	mutual_knn
C532	C649	0.319637	0.248017	0.266819	0.225993	0.929838	0.426966	0.401297	mutual_knn
C264	C312	0.319457	0.307118	0.236118	0.10696	0.843661	0.386441	0.498708	mutual_knn
C542	C561	0.319413	0.215718	0.218702	0.4757	0.983739	0.373958	0.400174	mutual_knn
C081	C382	0.319309	0.17659	0.303736	0.43816	0.960769	0.477261	0.3023	mutual_knn
C015	C062	0.319259	0.270345	0.217778	0.255791	0.931746	0.439745	0.563542	mutual_knn
C304	C503	0.31925	0.285154	0.246527	0.156659	0.870491	0.406586	0.499802	mutual_knn
C602	C666	0.319179	0.239927	0.257155	0.331811	0.888882	0.41347	0.492914	mutual_knn
C496	C511	0.319145	0.247079	0.224146	0.317916	0.965694	0.381107	0.457816	mutual_knn
C229	C610	0.319014	0.207137	0.21942	0.526663	0.969526	0.376457	0.478162	mutual_knn
C074	C273	0.318892	0.198052	0.239268	0.48603	0.994828	0.414627	0.346133	mutual_knn
C274	C334	0.318862	0.269409	0.22273	0.25294	0.920447	0.380935	0.447058	mutual_knn
C183	C395	0.318768	0.221405	0.244584	0.363635	0.983264	0.393715	0.458039	mutual_knn
C409	C647	0.318666	0.281943	0.228127	0.172203	0.920358	0.378993	0.511404	mutual_knn
C352	C358	0.318421	0.224682	0.279034	0.305844	0.917854	0.453399	0.431219	mutual_knn
C311	C352	0.318411	0.270584	0.26824	0.164474	0.861994	0.453399	0.431219	mutual_knn
C037	C122	0.318368	0.197173	0.213705	0.563428	0.993275	0.361362	0.36136	mutual_knn
C304	C554	0.317397	0.248798	0.225819	0.288531	0.963997	0.36968	0.484194	mutual_knn
C426	C479	0.317369	0.230297	0.246117	0.337231	0.946628	0.398306	0.400929	mutual_knn
C064	C373	0.317001	0.237249	0.248994	0.282749	0.95403	0.473771	0.642877	mutual_knn
C401	C526	0.316931	0.179908	0.274657	0.478835	0.966962	0.434905	0.30874	mutual_knn
C177	C660	0.316772	0.261743	0.215313	0.256309	0.956756	0.358822	0.468018	mutual_knn
C093	C117	0.316703	0.254436	0.258052	0.207193	0.9135	0.425938	0.450259	mutual_knn
C040	C240	0.316629	0.251365	0.203085	0.395608	0.904601	0.422123	0.440007	mutual_knn
C086	C477	0.316406	0.193905	0.308642	0.296683	0.971927	0.478743	0.436623	mutual_knn
C190	C508	0.316338	0.249259	0.244451	0.245206	0.938529	0.407953	0.421342	mutual_knn
C269	C567	0.316303	0.181434	0.231782	0.580481	0.980038	0.406099	0.311478	mutual_knn
C125	C390	0.316042	0.193803	0.28923	0.37187	0.951848	0.488881	0.371165	mutual_knn
C311	C378	0.316015	0.220141	0.251583	0.394515	0.910182	0.414122	0.363778	mutual_knn
C125	C249	0.315879	0.262101	0.215379	0.279614	0.922531	0.398039	0.490866	mutual_knn
C064	C572	0.315796	0.238886	0.253699	0.284657	0.917772	0.410545	0.460598	mutual_knn
C273	C319	0.315757	0.212734	0.248583	0.363996	0.984158	0.419562	0.419992	mutual_knn
C255	C511	0.3157	0.250758	0.238063	0.263749	0.925271	0.423167	0.470608	mutual_knn
C377	C523	0.315668	0.246596	0.32186	0.108532	0.849591	0.52824	0.426122	mutual_knn
C237	C279	0.315549	0.262709	0.245661	0.169435	0.935529	0.438015	0.532626	mutual_knn
C093	C513	0.315239	0.263055	0.234162	0.221129	0.9135	0.404168	0.443793	mutual_knn
C187	C294	0.315115	0.216861	0.239798	0.395024	0.95243	0.411029	0.410043	mutual_knn
C282	C515	0.315115	0.230269	0.199724	0.41317	0.987458	0.343206	0.497587	mutual_knn
C479	C656	0.314769	0.240493	0.243625	0.276769	0.937581	0.417349	0.452512	mutual_knn
